DR_NO,Crm Cd,Crm Cd Desc
211013779,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211708125,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210805192,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211709940,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221709672,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221416916,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221714278,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
222017250,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221709669,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
220317017,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
220311406,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
220909807,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221011062,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221107061,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221907081,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221105355,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221006669,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
222006597,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221009401,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
220812821,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
221012423,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
