DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Vict Age	Vict Sex	Vict Descent	LAT	LON
220907962	04/14/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1200	9	Van Nuys	914	2	354	17	M	H	34.1976	-118.4574
231513527	08/11/2023 12:00:00 AM	08/11/2020 12:00:00 AM	1615	15	N Hollywood	1525	2	354	36	F	B	34.1812	-118.3921
220617754	10/16/2022 12:00:00 AM	09/29/2020 12:00:00 AM	1130	6	Hollywood	638	2	354	37	F	W	34.1028	-118.3158
220613819	07/27/2022 12:00:00 AM	12/08/2020 12:00:00 AM	656	6	Hollywood	632	2	354	58	F	H	34.104	-118.3755
221707353	02/15/2022 12:00:00 AM	08/04/2020 12:00:00 AM	1800	17	Devonshire	1703	2	740	62	M	C	34.296	-118.5502
221806077	02/15/2022 12:00:00 AM	11/01/2020 12:00:00 AM	1000	18	Southeast	1822	1	331	26	M	B	33.9428	-118.2784
231415437	08/03/2023 12:00:00 AM	04/22/2020 12:00:00 AM	1700	14	Pacific	1435	1	236	45	F	O	34.0124	-118.4276
221310643	05/04/2022 12:00:00 AM	06/03/2020 12:00:00 AM	1425	13	Newton	1325	2	354	26	F	H	34.0177	-118.2525
222006040	02/16/2022 12:00:00 AM	02/12/2020 12:00:00 AM	945	20	Olympic	2071	2	354	36	F	B	34.0472	-118.3116
231910853	06/24/2023 12:00:00 AM	08/28/2020 12:00:00 AM	1145	19	Mission	1921	2	354	49	M	H	34.2966	-118.4644
221511143	06/15/2022 12:00:00 AM	11/19/2020 12:00:00 AM	719	15	N Hollywood	1543	2	354	54	F	H	34.1667	-118.402
231611060	08/14/2023 12:00:00 AM	07/06/2020 12:00:00 AM	655	16	Foothill	1678	2	354	44	M	W	34.2286	-118.3608
231708351	03/23/2023 12:00:00 AM	11/01/2020 12:00:00 AM	1	17	Devonshire	1705	2	668	70	M	W	34.3045	-118.5155
231804935	01/17/2023 12:00:00 AM	01/05/2020 12:00:00 AM	900	18	Southeast	1822	2	354	54	M	B	33.9519	-118.2762
231507204	03/18/2023 12:00:00 AM	12/15/2020 12:00:00 AM	1500	15	N Hollywood	1555	2	354	37	F	B	34.163	-118.3706
222011043	06/11/2022 12:00:00 AM	05/01/2020 12:00:00 AM	1	20	Olympic	2081	2	956	45	M	H	34.0408	-118.3115
221216573	07/15/2022 12:00:00 AM	05/15/2020 12:00:00 AM	1615	12	77th Street	1215	2	354	53	F	B	33.9915	-118.2959
231716371	10/11/2023 12:00:00 AM	01/01/2020 12:00:00 AM	2020	17	Devonshire	1749	2	354	55	M	B	34.261	-118.4848
230904576	01/17/2023 12:00:00 AM	06/25/2020 12:00:00 AM	1700	9	Van Nuys	946	2	354	52	M	W	34.1739	-118.4334
220613587	07/23/2022 12:00:00 AM	10/24/2020 12:00:00 AM	1	6	Hollywood	666	2	354	27	M	O	34.098	-118.3237
231304936	01/17/2023 12:00:00 AM	11/17/2020 12:00:00 AM	1250	13	Newton	1313	2	354	50	F	W	34.0293	-118.2526
231008955	05/09/2023 12:00:00 AM	01/09/2020 12:00:00 AM	1	10	West Valley	1028	2	627	3	F	H	34.1939	-118.4924
221810128	05/03/2022 12:00:00 AM	06/22/2020 12:00:00 AM	815	18	Southeast	1821	2	354	33	F	H	33.9455	-118.287
221718119	12/21/2022 12:00:00 AM	01/01/2020 12:00:00 AM	2100	17	Devonshire	1701	1	121	36	F	H	34.2831	-118.5807
230312512	06/21/2023 12:00:00 AM	07/09/2020 12:00:00 AM	1435	3	Southwest	357	2	354	23	F	B	34.0228	-118.3002
230117531	08/07/2023 12:00:00 AM	08/07/2020 12:00:00 AM	1400	1	Central	135	1	330	57	F	B	34.0495	-118.2459
220710103	06/06/2022 12:00:00 AM	08/01/2020 12:00:00 AM	1200	7	Wilshire	733	2	956	30	F	A	34.0649	-118.3525
220105454	01/25/2022 12:00:00 AM	09/02/2020 12:00:00 AM	1900	1	Central	159	2	745	36	M	W	34.0358	-118.2345
221110794	06/22/2022 12:00:00 AM	01/20/2020 12:00:00 AM	510	11	Northeast	1141	2	354	21	F	B	34.1036	-118.2983
221000883	09/21/2022 12:00:00 AM	05/01/2020 12:00:00 AM	1	10	West Valley	1037	2	860	16	F	H	34.1894	-118.5074
230314458	08/01/2023 12:00:00 AM	02/01/2020 12:00:00 AM	120	3	Southwest	338	2	354	28	M	H	34.0275	-118.2915
232010431	05/17/2023 12:00:00 AM	01/01/2020 12:00:00 AM	1200	20	Olympic	2055	2	626	35	F	B	34.0509	-118.2979
220709236	05/15/2022 12:00:00 AM	10/28/2020 12:00:00 AM	1200	7	Wilshire	734	2	354	33	F	K	34.0688	-118.3552
