DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,,
210119907,1,Central,121,900 W TEMPLE ST,,34.0607,-118.2494,,,,,,,,,,,,,,,,
212006692,20,Olympic,2019,3RD,COMMONWEALTH,34.069,-118.2857,,,,,,,,,,,,,,,,
211509753,15,N Hollywood,1525,VICTORY,RADFORD,34.1867,-118.3922,,,,,,,,,,,,,,,,
211509380,15,N Hollywood,1548,LANKERSHIM BL,CHANDLER BL,34.1681,-118.3766,,,,,,,,,,,,,,,,
211100503,11,Northeast,1162,1100 N MADISON AV,,34.0909,-118.2893,,,,,,,,,,,,,,,,
211212845,12,77th Street,1263,83RD ST,HARVARD,33.9637,-118.3068,,,,,,,,,,,,,,,,
211906099,19,Mission,1977,13600 WINGO ST,,34.2371,-118.4298,,,,,,,,,,,,,,,,
210619118,6,Hollywood,636,HOLLYWOOD,HIGHLAND,34.1016,-118.3387,,,,,,,,,,,,,,,,
210511506,5,Harbor,557,GRAND,4TH ST,33.7406,-118.2902,,,,,,,,,,,,,,,,
211611820,16,Foothill,1612,NORRIS AV,MERCER ST,34.2719,-118.4178,,,,,,,,,,,,,,,,
210317393,3,Southwest,356,3600 S NORMANDIE AV,,34.0219,-118.3045,,,,,,,,,,,,,,,,
210206995,2,Rampart,233,3RD ST,LA FAYETTE,34.0697,-118.2779,,,,,,,,,,,,,,,,
210107762,1,Central,142,3RD ST,FLOWER ST,34.0545,-118.2534,,,,,,,,,,,,,,,,
211004495,10,West Valley,1034,6200 RESEDA BL,,34.1829,-118.536,,,,,,,,,,,,,,,,
211222848,12,77th Street,1231,6100 EILEEN AV,,33.9826,-118.3429,,,,,,,,,,,,,,,,
211609602,16,Foothill,1602,12400 FOOTHILL BL,,34.284,-118.4052,,,,,,,,,,,,,,,,
211220439,12,77th Street,1256,FIGUEROA ST,FLORENCE AV,33.9747,-118.2827,,,,,,,,,,,,,,,,
210410639,4,Hollenbeck,421,2200 N BROADWAY,,34.0736,-118.2174,,,,,,,,,,,,,,,,
212104466,21,Topanga,2173,22800 VENTURA BL,,34.1658,-118.6239,,,,,,,,,,,,,,,,
211309999,13,Newton,1381,59TH PL,GRAND AV,33.986,-118.28,,,,,,,,,,,,,,,,
